,movie_id,predictions
0,1335380,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,29062594,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2,9252321,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3,13455076,0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
4,24165951,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5,1925869,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
6,10799612,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
7,28238240,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8,17124781,0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
9,28207941,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
10,19174305,0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
11,18392317,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0
12,34420857,1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
13,4039635,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,8034072,1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
15,4016437,1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
16,1520023,0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0
17,24589422,1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
18,35068740,1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
19,21132951,0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20,6575053,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
21,11990695,0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
22,25807103,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
23,142423,1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
24,5107196,0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
25,6747334,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26,8191245,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
27,35030619,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28,35764248,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29,26393786,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30,1373219,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
31,2311219,1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
32,20533021,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
33,31083557,0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
34,13448042,0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
35,6285350,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
36,2257358,1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
37,11074454,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
38,5239234,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
39,6593182,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
40,3257958,0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
41,4716139,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
42,9294,0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
43,3523090,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
44,3723154,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
45,3147170,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
46,29049575,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
47,8665259,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
48,22829,1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
49,9141521,0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
50,1307956,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
51,3177319,0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
52,22457596,0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
53,33743642,1 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0
54,8094606,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
